x_m,y_m,z_m,u_ms,v_ms,w_ms,speed_ms
1.000000000000000056e-01,8.999999999999999112e-01,5.208333333333333703e-01,-6.526330187510291474e-03,4.694370421420857725e-02,1.349297174058983542e-02,4.927843988459727764e-02
1.000000000000000056e-01,8.999999999999999112e-01,7.291666666666667407e-01,-7.475368328977609507e-03,5.723896423794848365e-02,1.427876020215074031e-02,5.946480599142278667e-02
1.000000000000000056e-01,8.999999999999999112e-01,9.375000000000001110e-01,-8.431626025736594504e-03,6.775137358321808856e-02,1.070591253650515773e-02,6.910830270734449887e-02
1.000000000000000056e-01,8.999999999999999112e-01,1.145833333333333703e+00,-9.143785849177330644e-03,7.546609642788500161e-02,2.875410245032664416e-03,7.607238995716969487e-02
1.000000000000000056e-01,8.999999999999999112e-01,1.354166666666666963e+00,-9.456655851986755026e-03,7.762724344957303013e-02,-7.378102823555394117e-03,7.854841606778044383e-02
1.000000000000000056e-01,8.999999999999999112e-01,1.562500000000000222e+00,-9.240574393107551382e-03,7.131237815761293231e-02,-1.577304056865178050e-02,7.361815198977274266e-02
1.000000000000000056e-01,8.999999999999999112e-01,1.770833333333333703e+00,-8.763086044725851287e-03,6.136095280821385334e-02,-1.883373724560787749e-02,6.478169390495831792e-02
1.000000000000000056e-01,8.999999999999999112e-01,1.979166666666667185e+00,-8.277713284569150273e-03,5.199656045471311161e-02,-1.671737382211571296e-02,5.524159143119002774e-02
1.000000000000000056e-01,8.999999999999999112e-01,2.187500000000000444e+00,-7.757912909333575073e-03,4.477650046569028874e-02,-1.104409001264960825e-02,4.676635682699983865e-02
1.000000000000000056e-01,8.999999999999999112e-01,2.395833333333333481e+00,-6.281854799822282100e-03,3.668358613483848479e-02,-3.772070310767685220e-03,3.740823045624504933e-02
1.000000000000000056e-01,1.099999999999999867e+00,1.041666666666666713e-01,-6.004747684809287785e-03,3.714951930647673872e-02,5.753030239742889726e-03,3.806889985801936022e-02
1.000000000000000056e-01,1.099999999999999867e+00,3.125000000000000555e-01,-6.700737265952675693e-03,4.409247421038799825e-02,1.655223315419846949e-02,4.757123694305209760e-02
1.000000000000000056e-01,1.099999999999999867e+00,5.208333333333333703e-01,-7.923747185438357460e-03,5.681010281297994846e-02,2.498262853146288390e-02,6.256440904716641105e-02
1.000000000000000056e-01,1.099999999999999867e+00,7.291666666666667407e-01,-9.535182119934641765e-03,7.472881418306348555e-02,2.847222279537969802e-02,8.053559981881858176e-02
1.000000000000000056e-01,1.099999999999999867e+00,9.375000000000001110e-01,-1.114650570799840916e-02,9.475923652963202937e-02,2.380649919866166184e-02,9.833771860925526187e-02
1.000000000000000056e-01,1.099999999999999867e+00,1.145833333333333703e+00,-1.224425533111283583e-02,1.105467562462707221e-01,9.634577547952010226e-03,1.116392950072391810e-01
1.000000000000000056e-01,1.099999999999999867e+00,1.354166666666666963e+00,-1.266710787123374350e-02,1.156391738425201626e-01,-1.092519175045574518e-02,1.168427745459097444e-01
1.000000000000000056e-01,1.099999999999999867e+00,1.562500000000000222e+00,-1.191347255504347953e-02,1.000750316892331515e-01,-2.700602284985131885e-02,1.043372803272516053e-01
1.000000000000000056e-01,1.099999999999999867e+00,1.770833333333333703e+00,-1.073094960333594895e-02,8.021542835256426085e-02,-3.120472151690265039e-02,8.673755167239939612e-02
1.000000000000000056e-01,1.099999999999999867e+00,1.979166666666667185e+00,-9.671248836816205216e-03,6.394616648662443392e-02,-2.640553611647687704e-02,6.985626385655958892e-02
1.000000000000000056e-01,1.099999999999999867e+00,2.187500000000000444e+00,-8.635812180810657768e-03,5.238810535781916050e-02,-1.668145189800928491e-02,5.565394570405404751e-02
1.000000000000000056e-01,1.099999999999999867e+00,2.395833333333333481e+00,-6.496383614928636328e-03,4.054461979826967655e-02,-5.516681726702223412e-03,4.143070083805347470e-02
1.000000000000000056e-01,1.300000000000000044e+00,1.041666666666666713e-01,-6.845940579721346460e-03,3.582603515789971327e-02,9.011720282170529103e-03,3.757103671713392379e-02
1.000000000000000056e-01,1.300000000000000044e+00,3.125000000000000555e-01,-7.954140028194776543e-03,4.545083411421739494e-02,2.682779485376091122e-02,5.337393785342916391e-02
